"county"	"tract"	"sldl12"	"cntyname"	"LandSQMI"	"afact"
"county"	"2010 Tract"	"sldl12"	"cntyname"	"Land Area Sq Mls"	"tract to sldl12 alloc factor"
"06001"	"4085.00"	"018"	"Alameda CA"	0.321	1 
"06001"	"4086.00"	"018"	"Alameda CA"	0.41	1 
"06001"	"4087.00"	"018"	"Alameda CA"	0.437	1 
"06001"	"4088.00"	"018"	"Alameda CA"	0.465	1 
"06001"	"4089.00"	"018"	"Alameda CA"	0.31	1 
"06001"	"4090.00"	"018"	"Alameda CA"	6.375	1 
"06001"	"4091.00"	"018"	"Alameda CA"	0.189	1 
"06001"	"4092.00"	"018"	"Alameda CA"	0.279	1 
"06001"	"4093.00"	"018"	"Alameda CA"	0.416	1 
"06001"	"4094.00"	"018"	"Alameda CA"	0.484	1 
"06001"	"4095.00"	"018"	"Alameda CA"	0.323	1 
"06001"	"4096.00"	"018"	"Alameda CA"	0.289	1 
"06001"	"4097.00"	"018"	"Alameda CA"	0.313	1 
"06001"	"4098.00"	"018"	"Alameda CA"	0.691	1 
"06001"	"4099.00"	"018"	"Alameda CA"	1.737	1 
"06001"	"4100.00"	"018"	"Alameda CA"	2.619	1 
"06001"	"4101.00"	"018"	"Alameda CA"	0.303	1 
"06001"	"4102.00"	"018"	"Alameda CA"	0.226	1 
"06001"	"4103.00"	"018"	"Alameda CA"	0.223	1 
"06001"	"4104.00"	"018"	"Alameda CA"	0.273	1 
"06001"	"4105.00"	"018"	"Alameda CA"	0.28	1 
"06001"	"4201.00"	"015"	"Alameda CA"	0.213	1 
"06001"	"4202.00"	"015"	"Alameda CA"	0.179	1 
"06001"	"4203.00"	"015"	"Alameda CA"	0.503	1 
"06001"	"4204.00"	"015"	"Alameda CA"	0.428	1 
"06001"	"4205.00"	"015"	"Alameda CA"	0.161	1 
"06001"	"4206.00"	"015"	"Alameda CA"	0.305	1 
"06001"	"4211.00"	"015"	"Alameda CA"	0.288	1 
"06001"	"4212.00"	"015"	"Alameda CA"	0.523	1 
"06001"	"4213.00"	"015"	"Alameda CA"	0.427	1 
"06001"	"4214.00"	"015"	"Alameda CA"	0.183	1 
"06001"	"4215.00"	"015"	"Alameda CA"	0.614	1 
"06001"	"4216.00"	"015"	"Alameda CA"	0.514	1 
"06001"	"4217.00"	"015"	"Alameda CA"	0.222	1 
"06001"	"4218.00"	"015"	"Alameda CA"	0.204	1 
"06001"	"4219.00"	"015"	"Alameda CA"	0.331	1 
"06001"	"4220.00"	"015"	"Alameda CA"	1.737	1 
"06001"	"4221.00"	"015"	"Alameda CA"	0.213	1 
"06001"	"4222.00"	"015"	"Alameda CA"	0.261	1 
"06001"	"4223.00"	"015"	"Alameda CA"	0.216	1 
"06001"	"4224.00"	"015"	"Alameda CA"	0.184	1 
"06001"	"4225.00"	"015"	"Alameda CA"	0.178	1 
"06001"	"4226.00"	"015"	"Alameda CA"	0.663	1 
"06001"	"4227.00"	"015"	"Alameda CA"	0.133	1 
"06001"	"4228.00"	"015"	"Alameda CA"	0.158	1 
"06001"	"4229.00"	"015"	"Alameda CA"	0.21	1 
"06001"	"4230.00"	"015"	"Alameda CA"	0.282	1 
"06001"	"4231.00"	"015"	"Alameda CA"	0.289	1 
"06001"	"4232.00"	"015"	"Alameda CA"	0.176	1 
"06001"	"4233.00"	"015"	"Alameda CA"	0.281	1 
"06001"	"4234.00"	"015"	"Alameda CA"	0.292	1 
"06001"	"4235.00"	"015"	"Alameda CA"	0.245	1 
"06001"	"4236.01"	"015"	"Alameda CA"	0.203	1 
"06001"	"4236.02"	"015"	"Alameda CA"	0.156	1 
"06001"	"4237.00"	"015"	"Alameda CA"	0.287	1 
"06001"	"4238.00"	"015"	"Alameda CA"	0.402	1 
"06001"	"4239.01"	"015"	"Alameda CA"	0.153	1 
"06001"	"4239.02"	"015"	"Alameda CA"	0.123	1 
"06001"	"4240.01"	"015"	"Alameda CA"	0.197	1 
"06001"	"4240.02"	"015"	"Alameda CA"	0.127	1 
"06001"	"4251.01"	"015"	"Alameda CA"	0.209	1 
"06001"	"4251.02"	"015"	"Alameda CA"	0.281	1 
"06001"	"4251.03"	"015"	"Alameda CA"	0.341	1 
"06001"	"4251.04"	"015"	"Alameda CA"	0.415	1 
"06001"	"4261.00"	"015"	"Alameda CA"	1.155	1 
"06001"	"4262.00"	"015"	"Alameda CA"	0.523	1 
"06001"	"4271.00"	"018"	"Alameda CA"	0.396	1 
"06001"	"4272.00"	"018"	"Alameda CA"	0.513	1 
"06001"	"4273.00"	"018"	"Alameda CA"	0.754	1 
"06001"	"4276.00"	"018"	"Alameda CA"	0.225	1 
"06001"	"4277.00"	"018"	"Alameda CA"	0.386	1 
"06001"	"4278.00"	"018"	"Alameda CA"	0.321	1 
"06001"	"4279.00"	"018"	"Alameda CA"	0.319	1 
"06001"	"4280.00"	"018"	"Alameda CA"	0.203	1 
"06001"	"4281.00"	"018"	"Alameda CA"	0.385	1 
"06001"	"4282.00"	"018"	"Alameda CA"	0.526	1 
"06001"	"4283.01"	"018"	"Alameda CA"	1.817	1 
"06001"	"4283.02"	"018"	"Alameda CA"	0.863	1 
"06001"	"4284.00"	"018"	"Alameda CA"	0.319	1 
"06001"	"4285.00"	"018"	"Alameda CA"	0.243	1 
"06001"	"4286.00"	"018"	"Alameda CA"	0.348	1 
"06001"	"4287.00"	"018"	"Alameda CA"	2.992	1 
"06001"	"4301.01"	"020"	"Alameda CA"	9.837	1 
"06001"	"4301.02"	"018"	"Alameda CA"	10.497	0.354 
"06001"	"4301.02"	"020"	"Alameda CA"	19.116	0.646 
"06001"	"4302.00"	"020"	"Alameda CA"	2.058	1 
"06001"	"4303.00"	"020"	"Alameda CA"	1.145	1 
"06001"	"4304.00"	"020"	"Alameda CA"	0.908	1 
"06001"	"4305.00"	"020"	"Alameda CA"	1.008	1 
"06001"	"4306.00"	"020"	"Alameda CA"	0.873	1 
"06001"	"4307.00"	"020"	"Alameda CA"	0.511	1 
"06001"	"4308.00"	"020"	"Alameda CA"	0.697	1 
"06001"	"4309.00"	"020"	"Alameda CA"	0.423	1 
"06001"	"4310.00"	"020"	"Alameda CA"	0.368	1 
"06001"	"4311.00"	"020"	"Alameda CA"	0.38	1 
"06001"	"4312.00"	"020"	"Alameda CA"	0.78	1 
"06001"	"4321.00"	"018"	"Alameda CA"	0.416	1 
"06001"	"4322.00"	"018"	"Alameda CA"	0.395	1 
"06001"	"4323.00"	"018"	"Alameda CA"	0.401	1 
"06001"	"4324.00"	"018"	"Alameda CA"	2.485	1 
"06001"	"4325.01"	"018"	"Alameda CA"	0.527	1 
"06001"	"4325.02"	"018"	"Alameda CA"	0.317	1 
"06001"	"4326.00"	"018"	"Alameda CA"	0.646	1 
"06001"	"4327.00"	"018"	"Alameda CA"	0.32	1 
"06001"	"4328.00"	"018"	"Alameda CA"	0.653	0.462 
"06001"	"4328.00"	"020"	"Alameda CA"	0.761	0.538 
"06001"	"4330.00"	"018"	"Alameda CA"	0.511	1 
"06001"	"4331.02"	"018"	"Alameda CA"	0.553	1 
"06001"	"4331.03"	"018"	"Alameda CA"	0.267	1 
"06001"	"4331.04"	"018"	"Alameda CA"	0.407	1 
"06001"	"4332.00"	"018"	"Alameda CA"	1.226	1 
"06001"	"4333.00"	"018"	"Alameda CA"	0.948	1 
"06001"	"4334.00"	"018"	"Alameda CA"	2.114	1 
"06001"	"4335.00"	"018"	"Alameda CA"	0.477	1 
"06001"	"4336.00"	"018"	"Alameda CA"	0.61	1 
"06001"	"4337.00"	"020"	"Alameda CA"	0.508	1 
"06001"	"4338.00"	"018"	"Alameda CA"	0.069	0.112 
"06001"	"4338.00"	"020"	"Alameda CA"	0.549	0.888 
"06001"	"4339.00"	"020"	"Alameda CA"	0.315	1 
"06001"	"4340.00"	"020"	"Alameda CA"	0.466	1 
"06001"	"4351.02"	"020"	"Alameda CA"	1.65	1 
"06001"	"4351.03"	"020"	"Alameda CA"	19.881	1 
"06001"	"4351.04"	"020"	"Alameda CA"	2.77	1 
"06001"	"4352.00"	"020"	"Alameda CA"	0.875	1 
"06001"	"4353.00"	"020"	"Alameda CA"	0.498	1 
"06001"	"4354.00"	"020"	"Alameda CA"	0.513	1 
"06001"	"4355.00"	"020"	"Alameda CA"	0.391	1 
"06001"	"4356.01"	"020"	"Alameda CA"	0.365	1 
"06001"	"4356.02"	"020"	"Alameda CA"	0.442	1 
"06001"	"4357.00"	"020"	"Alameda CA"	0.512	1 
"06001"	"4358.00"	"018"	"Alameda CA"	0.001	0.001 
"06001"	"4358.00"	"020"	"Alameda CA"	0.503	0.999 
"06001"	"4359.00"	"020"	"Alameda CA"	0.931	1 
"06001"	"4360.00"	"020"	"Alameda CA"	0.508	1 
"06001"	"4361.00"	"020"	"Alameda CA"	0.482	1 
"06001"	"4362.00"	"020"	"Alameda CA"	0.249	1 
"06001"	"4363.00"	"020"	"Alameda CA"	0.707	1 
"06001"	"4364.01"	"020"	"Alameda CA"	1.203	1 
"06001"	"4364.02"	"020"	"Alameda CA"	1.646	1 
"06001"	"4365.00"	"020"	"Alameda CA"	0.739	1 
"06001"	"4366.01"	"020"	"Alameda CA"	0.419	1 
"06001"	"4366.02"	"020"	"Alameda CA"	0.345	1 
"06001"	"4367.00"	"020"	"Alameda CA"	0.308	1 
"06001"	"4368.00"	"020"	"Alameda CA"	0.396	1 
"06001"	"4369.00"	"020"	"Alameda CA"	0.466	1 
"06001"	"4370.00"	"020"	"Alameda CA"	0.615	1 
"06001"	"4371.01"	"020"	"Alameda CA"	18.863	1 
"06001"	"4371.02"	"020"	"Alameda CA"	0.336	1 
"06001"	"4372.00"	"020"	"Alameda CA"	0.986	1 
"06001"	"4373.00"	"020"	"Alameda CA"	0.398	1 
"06001"	"4374.00"	"020"	"Alameda CA"	0.332	1 
"06001"	"4375.00"	"020"	"Alameda CA"	0.245	1 
"06001"	"4376.00"	"020"	"Alameda CA"	0.316	1 
"06001"	"4377.01"	"020"	"Alameda CA"	0.187	1 
"06001"	"4377.02"	"020"	"Alameda CA"	0.143	1 
"06001"	"4378.00"	"020"	"Alameda CA"	0.493	1 
"06001"	"4379.00"	"020"	"Alameda CA"	0.26	1 
"06001"	"4380.00"	"020"	"Alameda CA"	0.935	1 
"06001"	"4381.00"	"020"	"Alameda CA"	0.775	1 
"06001"	"4382.01"	"020"	"Alameda CA"	0.382	1 
"06001"	"4382.03"	"020"	"Alameda CA"	2.039	1 
"06001"	"4382.04"	"020"	"Alameda CA"	0.575	1 
"06001"	"4383.00"	"020"	"Alameda CA"	0.331	1 
"06001"	"4384.00"	"020"	"Alameda CA"	0.666	1 
"06001"	"4401.00"	"020"	"Alameda CA"	10.715	1 
"06001"	"4402.00"	"020"	"Alameda CA"	0.448	1 
"06001"	"4403.01"	"020"	"Alameda CA"	1.652	1 
"06001"	"4403.04"	"020"	"Alameda CA"	0.378	1 
"06001"	"4403.05"	"020"	"Alameda CA"	0.359	1 
"06001"	"4403.06"	"020"	"Alameda CA"	0.26	1 
"06001"	"4403.07"	"020"	"Alameda CA"	0.543	1 
"06001"	"4403.08"	"020"	"Alameda CA"	0.712	1 
"06001"	"4403.31"	"020"	"Alameda CA"	0.718	1 
"06001"	"4403.32"	"020"	"Alameda CA"	0.952	1 
"06001"	"4403.33"	"020"	"Alameda CA"	0.97	1 
"06001"	"4403.34"	"020"	"Alameda CA"	0.395	1 
"06001"	"4403.35"	"020"	"Alameda CA"	0.774	1 
"06001"	"4403.36"	"020"	"Alameda CA"	0.441	1 
"06001"	"4411.00"	"020"	"Alameda CA"	5.85	1 
"06001"	"4412.00"	"020"	"Alameda CA"	1.252	1 
"06001"	"4413.01"	"020"	"Alameda CA"	1.272	1 
"06001"	"4413.02"	"020"	"Alameda CA"	0.77	1 
"06001"	"4414.01"	"020"	"Alameda CA"	0.729	1 
"06001"	"4414.02"	"020"	"Alameda CA"	0.631	1 
"06001"	"4415.01"	"020"	"Alameda CA"	1.014	1 
"06001"	"4415.03"	"020"	"Alameda CA"	8.255	0.276 
"06001"	"4415.03"	"025"	"Alameda CA"	21.659	0.724 
"06001"	"4415.21"	"020"	"Alameda CA"	0.66	1 
"06001"	"4415.22"	"020"	"Alameda CA"	0.505	1 
"06001"	"4415.23"	"020"	"Alameda CA"	0.181	1 
"06001"	"4415.24"	"020"	"Alameda CA"	0.649	1 
