"county","tract","cbsa","cntyname","cbsaname","hus10","afact","AFACT2"
"06001","4065.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2015,1,0.001
"06001","4066.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1805,1,0.001
"06001","4066.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",964,1,0.001
"06001","4067.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2335,1,0.001
"06001","4068.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1451,1,0.001
"06001","4069.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1561,1,0.001
"06001","4070.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2233,1,0.001
"06001","4071.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1096,1,0.001
"06001","4071.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1375,1,0.001
"06001","4072.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2008,1,0.001
"06001","4073.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",811,1,0
"06001","4074.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1186,1,0.001
"06001","4075.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1386,1,0.001
"06001","4076.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2251,1,0.001
"06001","4077.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1826,1,0.001
"06001","4078.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",783,1,0
"06001","4079.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1198,1,0.001
"06001","4080.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1058,1,0.001
"06001","4081.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2714,1,0.002
"06001","4082.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1819,1,0.001
"06001","4083.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1826,1,0.001
"06001","4084.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1275,1,0.001
"06001","4085.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1666,1,0.001
"06001","4086.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1897,1,0.001
"06001","4087.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2512,1,0.001
"06001","4088.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1937,1,0.001
"06001","4089.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1074,1,0.001
"06001","4090.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1071,1,0.001
"06001","4091.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",664,1,0
"06001","4092.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",972,1,0.001
